    time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),  MagX(uT),  MagY(uT),  MagZ(uT),Mag_abs(uT), THE(°C),Pressure(hPa),height(m),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state, asX(m/s²), asY(m/s²), asZ(m/s²),|as|(m/s²), ADC1,GPIO
12:12:55,1044330936,     0.000,     0.000,     0.000,     0.000,     9.757,     0.191,    -0.952,     9.805,     0.000,     0.000,     0.000,     0.000,   -54.382,    20.091,   -58.612,    82.441,     27.71,  1013.097,    28.108,   -0.0211,    0.7397,    0.0381,    0.6715,   168.371,   -84.309,    16.430,     0.000,     0.000,     0.000,     57376, idle,     0.000,     0.000,     0.000,     0.000, 2347,  01
12:12:55,1044330969,     0.000,     0.000,     0.000,     0.000,     9.762,     0.191,    -0.952,     9.810,     0.000,     0.000,     0.000,     0.000,   -54.231,    20.242,   -58.461,    82.271,     27.71,  1013.097,    28.108,   -0.0211,    0.7397,    0.0381,    0.6715,   168.377,   -84.309,    16.425,     0.000,     0.000,     0.000,     57376, idle,     0.000,     0.000,     0.000,     0.000, 2347,  01
12:12:55,1044331002,     0.000,     0.000,     0.000,     0.000,     9.757,     0.191,    -0.952,     9.805,     0.000,     0.000,     0.000,     0.000,   -54.231,    20.091,   -58.310,    82.126,     27.71,  1013.097,    28.108,   -0.0211,    0.7397,    0.0381,    0.6715,   168.382,   -84.309,    16.425,     0.000,     0.000,     0.000,     57376, idle,     0.000,     0.000,     0.000,     0.000, 2352,  01
12:12:55,1044331035,     0.000,     0.000,     0.000,     0.000,     9.757,     0.191,    -0.952,     9.805,     0.000,     0.000,     0.000,     0.000,   -53.929,    20.091,   -58.159,    81.820,     27.71,  1013.097,    28.108,   -0.0211,    0.7397,    0.0381,    0.6715,   168.382,   -84.309,    16.419,     0.000,     0.000,     0.000,     57376, idle,     0.000,     0.000,     0.000,     0.000, 2347,  01
12:12:55,1044331068,     0.000,     0.000,     0.000,     0.000,     9.757,     0.191,    -0.952,     9.805,     0.000,     0.000,     0.000,     0.000,   -54.382,    20.091,   -58.612,    82.441,     27.71,  1013.097,    28.108,   -0.0211,    0.7397,    0.0381,    0.6715,   168.388,   -84.304,    16.414,     0.000,     0.000,     0.000,     57376, idle,     0.000,     0.000,     0.000,     0.000, 2347,  01
12:12:55,1044331101,     0.000,     0.000,     0.000,     0.000,     9.757,     0.191,    -0.952,     9.805,     0.000,     0.000,     0.000,     0.000,   -54.533,    20.091,   -58.612,    82.540,     27.71,  1013.097,    28.108,   -0.0211,    0.7397,    0.0381,    0.6715,   168.398,   -84.304,    16.408,     0.000,     0.000,     0.000,     57376, idle,     0.000,     0.000,     0.000,     0.000, 2352,  01
12:12:55,1044331134,     0.000,     0.000,     0.000,     0.000,     9.757,     0.191,    -0.952,     9.805,     0.000,     0.000,     0.000,     0.000,   -54.231,    20.393,   -58.310,    82.201,     27.71,  1013.097,    28.108,   -0.0211,    0.7397,    0.0381,    0.6715,   168.404,   -84.304,    16.403,     0.000,     0.000,     0.000,     57376, idle,     0.000,     0.000,     0.000,     0.000, 2355,  01
12:12:55,1044331167,     0.000,     0.000,     0.000,     0.000,     9.757,     0.191,    -0.952,     9.805,     0.000,     0.000,     0.000,     0.000,   -54.231,    20.242,   -58.461,    82.271,     27.71,  1013.097,    28.108,   -0.0211,    0.7397,    0.0381,    0.6715,   168.409,   -84.304,    16.397,     0.000,     0.000,     0.000,     57376, idle,     0.000,     0.000,     0.000,     0.000, 2355,  01
12:12:55,1044331200,     0.000,     0.000,     0.000,     0.000,     9.757,     0.191,    -0.952,     9.805,     0.000,     0.000,     0.000,     0.000,   -54.382,    20.242,   -58.310,    82.263,     27.71,  1013.097,    28.108,   -0.0211,    0.7397,    0.0381,    0.6715,   168.415,   -84.304,    16.386,     0.000,     0.000,     0.000,     57376, idle,     0.000,     0.000,     0.000,     0.000, 2355,  01
12:12:55,1044331233,     0.000,     0.000,     0.000,     0.000,     9.757,     0.191,    -0.952,     9.805,     0.000,     0.000,     0.000,     0.000,   -54.080,    20.091,   -58.310,    82.027,     27.71,  1013.097,    28.108,   -0.0211,    0.7397,    0.0381,    0.6715,   168.420,   -84.304,    16.381,     0.000,     0.000,     0.000,     57376, idle,     0.000,     0.000,     0.000,     0.000, 2347,  01
12:12:55,1044331266,     0.000,     0.000,     0.000,     0.000,     9.757,     0.191,    -0.952,     9.805,     0.000,     0.000,     0.000,     0.000,   -54.080,    20.091,   -58.461,    82.134,     27.71,  1013.097,    28.108,   -0.0211,    0.7397,    0.0381,    0.6715,   168.431,   -84.304,    16.375,     0.000,     0.000,     0.000,     57376, idle,     0.000,     0.000,     0.000,     0.000, 2347,  01
12:12:55,1044331299,     0.000,     0.000,     0.000,     0.000,     9.757,     0.191,    -0.952,     9.805,     0.000,     0.000,     0.000,     0.000,   -54.231,    20.393,   -58.461,    82.308,     27.71,  1013.097,    28.108,   -0.0211,    0.7397,    0.0381,    0.6715,   168.437,   -84.304,    16.370,     0.000,     0.000,     0.000,     57376, idle,     0.000,     0.000,     0.000,     0.000, 2347,  01
12:12:55,1044331332,     0.000,     0.000,     0.000,     0.000,     9.757,     0.191,    -0.952,     9.805,     0.000,     0.000,     0.000,     0.000,   -54.231,    20.393,   -58.310,    82.201,     27.71,  1013.097,    28.108,   -0.0211,    0.7397,    0.0381,    0.6715,   168.442,   -84.304,    16.364,     0.000,     0.000,     0.000,     57376, idle,     0.000,     0.000,     0.000,     0.000, 2347,  01
12:12:55,1044331365,     0.000,     0.000,     0.000,     0.000,     9.757,     0.191,    -0.952,     9.805,     0.000,     0.000,     0.000,     0.000,   -54.382,    20.091,   -58.310,    82.226,     27.71,  1013.097,    28.108,   -0.0211,    0.7397,    0.0381,    0.6715,   168.448,   -84.304,    16.359,     0.000,     0.000,     0.000,     57376, idle,     0.000,     0.000,     0.000,     0.000, 2355,  01
