    time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),  MagX(uT),  MagY(uT),  MagZ(uT),Mag_abs(uT), THE(°C),Pressure(hPa),height(m),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state, asX(m/s²), asY(m/s²), asZ(m/s²),|as|(m/s²), ADC1,GPIO
12:07:33,1044009417,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.531,     9.844,     0.000,     0.000,     0.000,     0.000,    22.810,    -6.647,   -98.039,   100.877,     26.88,  1013.339,    26.087,    0.7183,    0.1076,    0.6792,   -0.1053,    12.085,    86.830,    -5.235,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2303,  01
12:07:33,1044009450,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.526,     9.843,     0.000,     0.000,     0.000,     0.000,    22.810,    -7.100,   -98.341,   101.202,     26.87,  1013.339,    26.093,    0.7183,    0.1076,    0.6792,   -0.1053,    12.090,    86.830,    -5.229,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2305,  01
12:07:33,1044009483,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.531,     9.844,     0.000,     0.000,     0.000,     0.000,    22.659,    -6.949,   -98.341,   101.157,     26.87,  1013.339,    26.093,    0.7183,    0.1076,    0.6792,   -0.1053,    12.090,    86.830,    -5.229,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2313,  01
12:07:33,1044009516,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.526,     9.843,     0.000,     0.000,     0.000,     0.000,    22.961,    -6.647,   -98.190,   101.058,     26.87,  1013.339,    26.093,    0.7183,    0.1076,    0.6792,   -0.1053,    12.096,    86.830,    -5.224,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2316,  01
12:07:33,1044009549,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.526,     9.843,     0.000,     0.000,     0.000,     0.000,    22.659,    -6.798,   -98.341,   101.147,     26.87,  1013.339,    26.098,    0.7183,    0.1076,    0.6793,   -0.1053,    12.101,    86.830,    -5.219,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2317,  01
12:07:33,1044009582,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.526,     9.843,     0.000,     0.000,     0.000,     0.000,    22.810,    -6.647,   -98.190,   101.024,     26.87,  1013.338,    26.098,    0.7183,    0.1076,    0.6793,   -0.1053,    12.107,    86.830,    -5.213,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2315,  01
12:07:33,1044009615,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.526,     9.843,     0.000,     0.000,     0.000,     0.000,    22.659,    -6.949,   -98.039,   100.863,     26.87,  1013.338,    26.098,    0.7183,    0.1076,    0.6793,   -0.1053,    12.107,    86.830,    -5.213,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2313,  01
12:07:33,1044009648,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.526,     9.843,     0.000,     0.000,     0.000,     0.000,    22.659,    -6.798,   -98.039,   100.853,     26.87,  1013.338,    26.098,    0.7183,    0.1076,    0.6793,   -0.1053,    12.112,    86.830,    -5.208,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2314,  01
12:07:33,1044009681,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.526,     9.843,     0.000,     0.000,     0.000,     0.000,    22.206,    -6.949,   -98.190,   100.910,     26.87,  1013.338,    26.103,    0.7183,    0.1076,    0.6793,   -0.1053,    12.112,    86.830,    -5.208,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2315,  01
12:07:33,1044009714,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.526,     9.843,     0.000,     0.000,     0.000,     0.000,    22.508,    -6.949,   -98.190,   100.977,     26.87,  1013.338,    26.103,    0.7183,    0.1076,    0.6793,   -0.1053,    12.112,    86.830,    -5.208,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2315,  01
12:07:33,1044009747,    -0.033,     0.000,     0.000,     0.033,    -9.824,     0.110,     0.526,     9.839,     0.000,     0.000,     0.000,     0.000,    22.659,    -6.949,   -98.190,   101.010,     26.87,  1013.337,    26.103,    0.7183,    0.1076,    0.6793,   -0.1053,    12.112,    86.830,    -5.208,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2315,  01
12:07:34,1044009780,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.531,     9.844,     0.000,     0.000,     0.000,     0.000,    22.508,    -6.798,   -98.190,   100.966,     26.87,  1013.337,    26.103,    0.7183,    0.1076,    0.6793,   -0.1053,    12.112,    86.830,    -5.213,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2313,  01
12:07:34,1044009813,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.531,     9.844,     0.000,     0.000,     0.000,     0.000,    22.508,    -7.100,   -98.492,   101.281,     26.87,  1013.337,    26.109,    0.7183,    0.1076,    0.6793,   -0.1053,    12.107,    86.830,    -5.213,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2314,  01
12:07:34,1044009846,    -0.033,     0.000,     0.000,     0.033,    -9.824,     0.110,     0.531,     9.839,     0.000,     0.000,     0.000,     0.000,    22.357,    -7.100,   -98.341,   101.100,     26.87,  1013.337,    26.109,    0.7183,    0.1076,    0.6793,   -0.1053,    12.107,    86.830,    -5.213,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2313,  01
12:07:34,1044009879,    -0.033,     0.000,     0.000,     0.033,    -9.824,     0.110,     0.531,     9.839,     0.000,     0.000,     0.000,     0.000,    22.206,    -6.798,   -98.190,   100.899,     26.87,  1013.337,    26.109,    0.7183,    0.1076,    0.6793,   -0.1053,    12.107,    86.830,    -5.213,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2315,  01
12:07:34,1044009912,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.531,     9.844,     0.000,     0.000,     0.000,     0.000,    22.508,    -6.949,   -98.190,   100.977,     26.87,  1013.337,    26.109,    0.7183,    0.1076,    0.6793,   -0.1053,    12.101,    86.830,    -5.219,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2315,  01
12:07:34,1044009945,    -0.033,     0.000,     0.000,     0.033,    -9.824,     0.110,     0.526,     9.839,     0.000,     0.000,     0.000,     0.000,    22.659,    -6.949,   -98.190,   101.010,     26.87,  1013.337,    26.109,    0.7183,    0.1076,    0.6793,   -0.1053,    12.101,    86.830,    -5.219,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2317,  01
12:07:34,1044009978,    -0.033,     0.000,     0.000,     0.033,    -9.824,     0.110,     0.526,     9.839,     0.000,     0.000,     0.000,     0.000,    22.206,    -6.949,   -98.341,   101.057,     26.87,  1013.337,    26.109,    0.7183,    0.1076,    0.6793,   -0.1053,    12.096,    86.830,    -5.224,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2316,  01
12:07:34,1044010011,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.531,     9.844,     0.000,     0.000,     0.000,     0.000,    22.659,    -6.798,   -98.039,   100.853,     26.87,  1013.337,    26.109,    0.7183,    0.1076,    0.6793,   -0.1053,    12.090,    86.830,    -5.229,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2315,  01
12:07:34,1044010044,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.531,     9.844,     0.000,     0.000,     0.000,     0.000,    22.357,    -6.496,   -98.190,   100.913,     26.87,  1013.337,    26.109,    0.7183,    0.1076,    0.6793,   -0.1053,    12.085,    86.830,    -5.235,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2312,  01
12:07:34,1044010077,    -0.033,     0.000,     0.000,     0.033,    -9.829,     0.110,     0.531,     9.844,     0.000,     0.000,     0.000,     0.000,    22.508,    -6.798,   -98.190,   100.966,     26.87,  1013.337,    26.109,    0.7183,    0.1076,    0.6793,   -0.1053,    12.079,    86.830,    -5.240,     0.000,     0.000,     0.000,     56886, idle,     0.000,     0.000,     0.033,     0.033, 2315,  01
