    time, timestamp,  aX(m/s²),  aY(m/s²),  aZ(m/s²), |a|(m/s²),  Ax(m/s²),  Ay(m/s²),  Az(m/s²), |A|(m/s²),   Gx(°/s),   Gy(°/s),   Gz(°/s),G_abs(°/s),  MagX(uT),  MagY(uT),  MagZ(uT),Mag_abs(uT), THE(°C),Pressure(hPa),height(m),        w,         x,         y,         z, angleX(°), angleY(°), angleZ(°),offsetX(m),offsetY(m),offsetZ(m),     steps,state, asX(m/s²), asY(m/s²), asZ(m/s²),|as|(m/s²), ADC1,GPIO
12:50:18,1046568855,     0.273,    -0.062,    -0.072,     0.289,     1.660,     6.173,     7.364,     9.752,    -0.122,     2.014,     5.981,     6.313,   -15.862,    -8.308,  -111.635,   113.062,     26.91,  1013.074,    27.620,   -0.4370,   -0.0914,    0.3354,    0.8295,    39.996,    -8.130,  -127.392,     0.000,     0.000,     0.000,     57584, idle,    -0.172,    -0.220,    -0.053,     0.284, 2311,  01
12:50:18,1046568888,    -0.120,    -0.282,    -0.043,     0.310,     1.268,     5.948,     7.393,     9.573,     0.122,     3.418,     2.625,     4.311,   -15.862,    -8.006,  -111.635,   113.040,     26.91,  1013.074,    27.626,   -0.4384,   -0.0917,    0.3350,    0.8289,    39.957,    -8.146,  -127.211,     0.000,     0.000,     0.000,     57584, idle,    -0.091,     0.182,    -0.230,     0.307, 2310,  01
12:50:18,1046568921,    -0.397,    -0.234,     0.129,     0.479,     0.976,     5.991,     7.575,     9.707,     0.977,     2.930,     0.549,     3.137,   -15.559,    -8.308,  -111.635,   113.020,     26.91,  1013.073,    27.633,   -0.4392,   -0.0926,    0.3344,    0.8286,    39.930,    -8.064,  -127.079,     0.000,     0.000,     0.000,     57584, idle,     0.019,     0.469,    -0.105,     0.481, 2309,  01
12:50:18,1046568954,    -0.301,     0.000,     0.024,     0.302,     1.053,     6.230,     7.474,     9.787,     0.305,     2.014,    -2.441,     3.180,   -15.559,    -8.308,  -111.786,   113.169,     26.91,  1013.072,    27.644,   -0.4390,   -0.0935,    0.3340,    0.8288,    39.941,    -7.949,  -127.068,     0.000,     0.000,     0.000,     57584, idle,     0.163,     0.249,    -0.019,     0.298, 2309,  01
12:50:18,1046568987,    -0.077,     0.081,    -0.029,     0.115,     1.273,     6.316,     7.412,     9.821,     0.061,     1.343,     4.822,     5.006,   -15.559,    -8.308,  -111.786,   113.169,     26.91,  1013.071,    27.653,   -0.4394,   -0.0939,    0.3340,    0.8286,    39.952,    -7.921,  -127.002,     0.000,     0.000,     0.000,     57584, idle,     0.115,     0.014,     0.014,     0.117, 2309,  01
12:50:18,1046569020,    -0.163,     0.000,    -0.211,     0.266,     1.201,     6.235,     7.230,     9.623,     0.793,    -0.183,     4.700,     4.770,   -15.559,    -8.308,  -111.635,   113.020,     26.91,  1013.070,    27.660,   -0.4406,   -0.0937,    0.3342,    0.8278,    39.957,    -8.015,  -126.859,     0.000,     0.000,     0.000,     57584, idle,     0.191,     0.029,    -0.182,     0.266, 2309,  01
12:50:18,1046569053,    -0.297,     0.014,    -0.191,     0.353,     1.077,     6.259,     7.240,     9.631,     2.258,    -2.380,     0.366,     3.302,   -15.559,    -8.308,  -111.484,   112.871,     26.91,  1013.070,    27.660,   -0.4407,   -0.0937,    0.3349,    0.8276,    40.023,    -8.053,  -126.865,     0.000,     0.000,     0.000,     57584, idle,     0.273,     0.134,    -0.177,     0.352, 2303,  01
12:50:18,1046569086,     0.014,     0.000,    -0.053,     0.055,     1.421,     6.259,     7.364,     9.769,     4.883,    -3.479,     8.545,    10.438,   -15.710,    -8.157,  -111.484,   112.880,     26.91,  1013.069,    27.665,   -0.4414,   -0.0930,    0.3364,    0.8266,    40.155,    -8.240,  -126.804,     0.000,     0.000,     0.000,     57584, idle,     0.014,    -0.038,    -0.033,     0.053, 2309,  01
12:50:18,1046569119,     0.297,     0.086,    -0.177,     0.356,     1.756,     6.359,     7.211,     9.774,     6.958,    -4.089,    10.925,    13.583,   -16.013,    -8.006,  -111.484,   112.912,     26.91,  1013.068,    27.673,   -0.4433,   -0.0918,    0.3385,    0.8249,    40.320,    -8.547,  -126.639,     0.000,     0.000,     0.000,     57584, idle,    -0.033,    -0.354,    -0.033,     0.357, 2309,  01
12:50:18,1046569152,     1.019,     0.144,    -0.584,     1.183,     2.555,     6.455,     6.761,     9.691,    11.475,    -4.578,    11.658,    16.986,   -16.315,    -8.459,  -111.333,   112.839,     26.92,  1013.067,    27.684,   -0.4454,   -0.0903,    0.3424,    0.8223,    40.660,    -8.998,  -126.447,     0.000,     0.000,     0.000,     57584, idle,    -0.234,    -1.148,    -0.182,     1.186, 2309,  01
12:50:18,1046569185,     0.880,    -0.249,    -0.459,     1.024,     2.498,     6.106,     6.824,     9.491,    18.860,    -5.981,    16.724,    25.907,   -16.013,    -9.064,  -111.484,   112.992,     26.92,  1013.066,    27.694,   -0.4478,   -0.0891,    0.3472,    0.8191,    41.116,    -9.498,  -126.233,     0.000,    -0.001,     0.000,     57584, idle,    -0.469,    -0.833,    -0.359,     1.021, 2309,  01
12:50:18,1046569218,     0.986,    -0.005,    -0.412,     1.068,     2.737,     6.441,     6.761,     9.731,    29.053,    -9.399,    20.325,    36.681,   -16.617,    -9.668,  -111.635,   113.278,     26.92,  1013.065,    27.700,   -0.4514,   -0.0877,    0.3555,    0.8137,    41.951,   -10.267,  -125.903,    -0.001,    -0.004,    -0.001,     57584, idle,    -0.383,    -0.991,    -0.129,     1.070, 2309,  01
12:50:18,1046569251,    -0.249,    -0.397,     0.560,     0.730,     1.632,     6.168,     7.589,     9.915,    37.231,   -14.343,    18.005,    43.773,   -16.617,   -10.272,  -111.182,   112.885,     26.92,  1013.065,    27.700,   -0.4541,   -0.0870,    0.3661,    0.8076,    43.077,   -11.069,  -125.678,    -0.002,    -0.007,    -0.002,     57584, idle,    -0.388,     0.613,     0.081,     0.729, 2312,  01
12:50:18,1046569284,     0.057,    -0.206,     0.818,     0.846,     2.024,     6.489,     7.704,    10.274,    39.490,   -17.334,    -5.859,    43.523,   -17.070,   -11.179,  -110.880,   112.741,     26.92,  1013.065,    27.700,   -0.4532,   -0.0874,    0.3759,    0.8035,    44.225,   -11.552,  -125.859,    -0.004,    -0.010,    -0.002,     57584, idle,    -0.565,     0.445,     0.445,     0.846, 2309,  01
12:50:18,1046569317,    -0.354,     0.383,     1.287,     1.389,     1.541,     7.283,     7.996,    10.925,    38.086,   -19.165,   -49.927,    65.655,   -17.674,   -12.236,  -110.426,   112.499,     26.92,  1013.064,    27.707,   -0.4419,   -0.0921,    0.3866,    0.8042,    45.786,   -11.162,  -127.139,    -0.006,    -0.012,    -0.002,     57584, idle,    -0.167,     0.852,     1.081,     1.387, 2312,  01
12:50:18,1046569350,    -0.287,     0.584,     1.383,     1.528,     1.459,     7.666,     7.943,    11.135,    40.283,   -17.029,   -56.946,    71.802,   -17.523,   -13.293,  -110.275,   112.447,     26.92,  1013.064,    27.710,   -0.4273,   -0.0986,    0.3950,    0.8073,    47.197,   -10.272,  -128.710,    -0.008,    -0.013,    -0.002,     57584, idle,    -0.148,     0.799,     1.297,     1.530, 2311,  01
12:50:18,1046569383,     2.378,     1.656,     1.660,     3.340,     3.933,     8.958,     8.025,    12.653,    43.274,    -7.080,   -53.833,    69.432,   -17.070,   -14.200,  -109.822,   112.044,     26.92,  1013.063,    27.716,   -0.4106,   -0.1074,    0.4051,    0.8098,    48.922,    -9.130,  -130.380,    -0.011,    -0.014,     0.000,     57584, idle,    -1.402,    -1.397,     2.689,     3.339, 2309,  01
