aX,aY,aZ,Gx,Gy,Gz
-0.01,0.0,0.0,0.0,0.0,0.0
-0.01,0.0,0.0,0.0,0.0,0.0
-0.01,0.0,0.0,0.0,0.0,0.0
-0.01,0.0,0.0,0.0,0.0,0.0
-0.01,0.0,0.0,0.0,0.0,0.0
-0.01,0.0,0.0,0.0,0.0,0.0
-0.01,0.0,0.0,0.0,0.0,0.0
-0.01,0.0,0.0,0.0,0.0,0.0
-0.01,0.0,0.0,0.0,0.0,0.0
-0.01,0.0,0.0,0.0,0.0,0.0
-0.005,0.0,0.0,0.0,0.0,0.0
-0.005,0.0,0.0,0.0,0.0,0.0
-0.005,0.0,0.0,0.0,0.0,0.0
-0.005,0.0,0.0,0.0,0.0,0.0
-0.005,0.0,0.0,0.0,0.0,0.0
-0.005,0.0,0.0,0.0,0.0,0.0
0.239,0.0,0.062,0.0,0.0,-0.671
-0.014,0.048,-0.038,-0.183,0.122,0.366
-0.067,-0.062,0.014,0.305,0.122,-0.488
1.637,1.258,-0.081,-2.747,4.456,5.554
-0.144,-0.828,-0.057,4.578,2.258,-1.953
-0.584,-1.268,0.12,1.892,-4.089,-3.784
-0.871,-1.235,0.287,1.465,-3.662,-6.226
3.517,27.06,3.24,-7.019,4.395,-6.287
4.967,-3.756,-4.091,-5.615,32.898,-40.222
10.422,-2.048,-1.656,-8.484,57.007,-82.642
3.804,0.435,-0.565,-12.512,77.209,-70.19
6.915,2.306,-0.603,-17.822,96.802,-75.073
-3.345,2.876,-0.105,-21.484,102.966,-71.96
-1.086,3.063,4.043,-5.981,100.647,-36.438
-2.11,6.225,2.617,-27.893,74.341,138.672
-6.584,2.646,4.302,-19.714,18.25,16.357
-3.881,1.924,3.484,-31.311,-25.33,-150.391
-1.493,1.077,2.895,-31.311,-55.847,-177.002
-1.507,-0.656,2.627,-23.438,-66.467,-187.561
-3.359,-2.45,3.359,-16.541,-80.627,-210.877
1.704,-3.168,4.536,-0.977,-66.528,-250.916
3.335,0.78,3.957,4.333,-45.349,-172.852
-1.78,0.55,3.665,-1.648,-35.339,52.429
-6.001,-0.785,2.445,-21.484,-57.617,54.626
-7.159,-4.297,2.397,-36.011,-114.258,-117.249
-4.776,-4.642,2.23,-26.55,-148.56,-129.7
-3.11,-0.483,1.168,-33.813,-154.48,-26.245
-1.297,-2.732,1.857,-62.561,-144.165,3.113
0.675,-2.196,0.455,-78.674,-121.765,44.8
-5.087,1.775,1.455,-111.145,-104.126,50.598
1.55,1.589,-2.814,-134.155,-82.52,49.744
-3.211,1.11,1.321,-150.757,-65.979,44.373
-0.469,5.556,-3.034,-184.265,-44.922,81.726
-2.57,4.254,-4.273,-210.266,-38.757,16.785
-3.594,-0.368,-3.651,-211.487,-77.454,-204.102
-1.053,1.55,-4.881,-187.073,-119.934,-251.099
1.048,1.263,-4.809,-159.424,-129.334,-150.696
0.718,-0.139,-3.45,-130.066,-123.779,-31.86
0.038,1.574,-3.919,-123.718,-111.939,20.264
0.837,1.115,-4.24,-125.732,-93.567,-13.916
1.584,-0.139,-4.244,-118.652,-84.961,-105.896
1.388,-2.283,-3.996,-92.163,-81.543,-133.667
-0.517,-2.397,-2.641,-53.772,-81.299,-32.898
-0.77,-2.22,-1.967,-33.02,-83.74,-24.841
1.354,-1.431,-0.751,-25.391,-77.759,-68.42
0.852,2.254,-6.092,-42.419,-61.584,-110.779
4.197,5.632,4.943,-67.566,-36.56,-132.08
2.402,8.135,1.924,-106.445,-16.052,-1.587
-2.986,4.852,2.986,-127.136,-7.935,114.746
-6.948,-1.589,3.905,-116.943,-20.447,115.967
-6.082,0.167,4.737,-102.6,-50.11,-28.381
-6.757,1.541,1.512,-94.727,-78.125,-112.305
-4.651,3.082,-1.129,-96.741,-98.145,-121.033
-0.158,3.072,-0.086,-105.225,-100.891,-148.193
2.35,3.871,-1.273,-114.624,-92.407,-154.48
0.593,0.847,-2.79,-112.0,-83.191,-99.915
-0.924,-1.44,-4.838,-100.586,-79.773,-79.773
0.038,-1.924,-6.063,-85.144,-77.942,-129.395
1.909,-1.852,-6.685,-71.411,-70.984,-170.593
